You have opened javax.swing.JFrame[frame0,360,116,1200x800,invalid,layout=java.awt.BorderLayout,title=,resizable,normal,defaultCloseOperation=EXIT_ON_CLOSE,rootPane=javax.swing.JRootPane[,8,31,1184x761,invalid,layout=javax.swing.JRootPane$RootLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=16777673,maximumSize=,minimumSize=,preferredSize=],rootPaneCheckingEnabled=true]
  1949.0  11.0  7.7  13.9  -2.0  10.8  4.7  119.8  -4.4  12.4  54.0  86.9
  1949.0  12.0  6.8  12.2  -5.2  9.4  4.1  141.1  -9.7  14.8  58.0  39.4
  1950.0  1.0  6.2  13.7  -7.0  9.1  3.3  57.8  -10.1  13.2  55.0  36.7
  1950.0  2.0  5.8  13.8  -6.2  9.4  2.2  138.2  -10.6  14.2  61.0  53.5
  1950.0  3.0  8.4  16.3  -2.2  12.4  4.4  28.3  -6.0  10.3  56.0  111.7
  1950.0  4.0  8.1  16.7  -3.2  11.9  4.3  57.6  -8.2  14.8  59.0  133.8
  1950.0  5.0  11.6  24.6  -0.3  16.6  6.6  37.8  -4.6  9.7  42.0  209.4
  1950.0  6.0  14.8  27.3  5.8  19.5  10.2  57.3  1.9  10.2  37.0  186.5
  1950.0  7.0  15.5  22.7  5.3  19.0  12.0  105.5  2.8  11.5  41.0  170.3
  1950.0  8.0  14.6  20.6  4.6  18.4  10.9  130.8  2.9  11.5  49.0  176.6
  1950.0  9.0  12.6  18.4  6.8  15.6  9.6  137.1  3.9  14.3  68.0  86.2
  1950.0  10.0  10.3  17.8  -0.4  13.7  6.9  77.9  -4.4  11.6  52.0  105.4
  1950.0  11.0  5.5  12.2  -6.7  8.9  2.0  94.9  -9.2  10.6  52.0  85.0
  1950.0  12.0  2.6  11.1  -6.1  5.5  -0.3  77.6  -9.7  9.2  56.0  45.7
  1951.0  1.0  4.7  12.2  -5.6  7.4  1.9  112.2  -8.6  11.0  52.0  42.5
  1951.0  2.0  3.6  12.2  -5.7  7.3  -0.1  92.4  -8.2  10.7  58.0  96.2
  1951.0  3.0  5.4  12.8  -5.7  8.9  1.9  72.2  -9.2  11.2  45.0  101.6
  1951.0  4.0  7.2  17.3  -4.6  11.8  2.6  48.8  -7.9  12.7  50.0  183.5
  1951.0  5.0  9.9  19.8  -0.6  14.9  4.9  37.4  -3.3  11.3  39.0  218.5
  1951.0  6.0  13.9  23.8  3.2  18.8  9.1  55.1  -0.3  10.0  40.0  240.4
  1951.0  7.0  15.6  24.9  6.2  19.6  11.7  48.0  2.7  10.1  39.0  161.1
  1951.0  8.0  14.4  20.6  7.4  17.9  10.9  103.6  2.9  11.3  43.0  148.5
  1951.0  9.0  13.5  19.9  4.3  16.9  10.2  128.0  2.0  10.9  50.0  93.3
  1951.0  10.0  11.0  19.2  -1.2  14.4  7.7  30.9  -3.7  10.4  49.0  67.1
  1951.0  11.0  8.2  13.5  -3.0  11.4  5.1  103.4  -5.5  11.2  53.0  53.8
  1951.0  12.0  6.6  13.5  -2.8  9.4  3.8  180.5  -5.6  13.7  78.0  47.9
  1952.0  1.0  4.0  11.7  -5.9  7.2  0.9  130.0  -8.3  12.1  60.0  58.2
